,tweet_id,tweet_text,class_label,event,source
65,870505674110676992,"We have given food packs to 500 families in flood hit #SriLanka. In addition, fitrana donations were delivered to 300 families. #Ramadan",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
182,877920199508455425,Sri Lanka Hit by Worst Flood in Decades  #news,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
111,870589965834608640,"Early warning, early action save thousands as Cyclone Mora strikes Bangladesh  via @reliefweb #lka #srilanka",caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
61,870037040632561664,Transnatnl Govt of #TamilEelam #TGTE express solidarity for those affected by #FloodSL;urges Tamil diaspora support,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
328,870136795425640448,"Grave #flood situation in #SriLanka is very disturbing. We hope n pray, more and more lives are saved and things improve. #SriLankaFloods",sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
340,870882107509354496,Showing Support for the Flood Victims. #FloodVictims #Floodrelief #Vantage #Srilanka,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
32,872765972289138688,How much of #FloodSL relief &amp; recovery funding go into @UNSriLankas admin overheads? Isnt it better to donate direct to local charities?,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_test
33,870111913832833024,Cyclone #Mora : #Indian Naval Ship (INS) Sumitra has rescued 10 #Bangladesh nationals &amp; will dock in Chittagong shortly with relief supplies,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
289,871807985353359360,Flood Relief Campaigns from Sri Lanka Scouts #Medical Clinics+Donation,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
243,878336710077292546,"This amazing fundraiser has raised over £1,000 for our flood relief campaign for families in Sri Lanka #SriLankaFloods",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
92,870395005386584064,"RT @PDChina: Death toll in flood-hit #SriLanka hits 202, hospitals to be evacuated",injured_or_dead_people,srilanka_floods_2017,srilanka_floods_2017_test
128,871401178713784320,US contributes Rs.350 Mn for SL flood relief - Daily Mirror - Sri Lanka Latest Breaking News and Headlines,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
167,879580398396866560,Coca-Cola Partners With Sri Lanka Red Cross For Emergency And Long-Term Flood Relief   #news,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
33,875534436888129536,USS #LakeErie’s crew continues support for disaster relief efforts following heavy flooding and landslides in #SriLanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
162,875972333814505472,@RavikOfficial @USAmbKeshap to visit the #USSLakeErie to express their appreciation for the flood relief work provided by them #SriLanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
51,871218302319775744,RT @350: Our thoughts are with the millions facing utter hardship in Sri Lanka after Cyclone Mora &amp; in Bangladesh who now face it’s fury. S,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
228,871383811564720131,After India &amp; Chinas help topeople affected by flood in Srilanka now U.S is helpful! #lka #Srilanka,rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_train
70,870599076223401984,@patralekha2011 @CGTNOfficial .Current disaster emergency has diminished. Stock taking now. #lka govt must draw &amp; heed lessons. Public trust in systems is low. #FloodSL,caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_test
90,875462598665408512,RT @SurfaceWarriors: #USSLakeErie continue to provide #SriLanka humanitarian aid and assistance in wake of #FloodSL #AroundTheFleet :,sympathy_and_support,srilanka_floods_2017,srilanka_floods_2017_train
307,870241412851408897,"NBRO has extended the landslide early warning if rainfall continues in the next 24 hours. Effective from 1300 hrs, 01.06.2017 #FloodSL",caution_and_advice,srilanka_floods_2017,srilanka_floods_2017_train
20,875029731279855616,".@UNCERF has released $4m to help 120,000 people in #SriLanka affected by #floods &amp; #landslides. Read it here:",rescue_volunteering_or_donation_effort,srilanka_floods_2017,srilanka_floods_2017_dev
