,id,event,source,text,lang,lang_conf,class_label
2,575753335992639488,2015_vanuatu_cyclone,crisisnlp-cf,Update: Vanuatu Hit Hard by Cyclone http://t.co/uss9ByNnSe,en,,informative
7,382836979466903552,2013_pakistan_earthquake,crisisnlp-cf,Just felt my bed shaking #earthquake #wtf,en,1.0,informative
13,451189814319390721,2014_chile_earthquake,crisisnlp-cf,"RT @newscientist: On 1 April, a magnitude 8.2 earthquake hit Chile. Today, a mag 7.5 strikes Mexico. Are they related?http://t.co/VVvJKqaq3D",en,1.0,informative
17,503644199095644160,2014_california_earthquake,crisisnlp-cf,Hope everyone's able to get through today's 6.0 #earthquake in Bay Area of California.,en,,informative
21,591903042481491968,2015_nepal_earthquake,crisisnlp-cf,"If You're Worried About Loved Ones In Nepal, This App Could Help: In the wake of a devastating earthquake in Nepal,‰Û_ http://t.co/lIjnTe6A1b",en,,informative
24,503643930035257345,2014_california_earthquake,crisisnlp-cf,QUAKE HITS CALIFORNIA State of emergency issued as officials weigh damage: VIDEO: 6.0 earthquake strikes near Napa Valley   VIDEO: Ca...,en,,informative
27,503645351069626370,2014_california_earthquake,crisisnlp-cf,RT @janinebucks: â™¦ http://t.co/sxEjExYuEM 927 â™¦ earthquake â™¦ Damage From Northern California Earthquake Could Reach $1 Billion http://t.co/â€¦,en,,informative
28,503645139735445504,2014_california_earthquake,crisisnlp-cf,#breakingnews Small Winemakers Assess Napa Quake Damage: Small independent vintners who stored wine barrels in... http://t.co/h31Oiv89rv,en,,informative
36,382828329620881408,2013_pakistan_earthquake,crisisnlp-cf,"RT @AnjumKiani: CJP have you found out where ur 'Missing Persons' are? They are attacking #Earthquake relief workers, Meds teams &amp; Soldiersâ€¦",en,1.0,informative
46,498505983472439296,2014_india_floods,crisisnlp-cf,"#Nepal | Hundreds dead as monsoon hits India, Nepal - &amp;#8230; , while the death toll in Nepal has passed 100, gove... http://t.co/by9thDEinE",en,1.0,informative
47,575796640767856640,2015_vanuatu_cyclone,crisisnlp-cf,#pam - current outlook in AKL right now. http://t.co/ZstlXGKRpx,en,,informative
48,382833598707281920,2013_pakistan_earthquake,crisisnlp-cf,"RT @Meher_J: @AP @AFP @csmonitor @NDTV @Ajelive Just In:Se[eratsts Attacked At Army Check Post In #Punjgur #Balochistan, Killed Five Persnl",en,1.0,not_informative
49,382834938858307584,2013_pakistan_earthquake,crisisnlp-cf,RT @Rubiconski: As many as 98% of those killed by drone strikes are civilians. #Pakistan #Somalia   http://t.co/NuYg8lpQCL,en,1.0,informative
52,575740519776567297,2015_vanuatu_cyclone,crisisnlp-cf,RT @guardiannews: Cyclone Pam: Vanuatu hit by death and widespread devastation ‰ÛÒ rolling coverage http://t.co/AhYUEWa0oE,en,,informative
53,503643335857569792,2014_california_earthquake,crisisnlp-cf,#napaquake prayers to all in Napa tonight,en,,informative
55,503644225930805248,2014_california_earthquake,crisisnlp-cf,RT @Flickr: Photographers capture Northern California's #earthquake aftermath. Our hearts go out to those impacted by it. https://t.co/O9vgâ€¦,en,,informative
60,591902736037355520,2015_nepal_earthquake,crisisnlp-cf,"RT @RidlrDel: Donate For Nepal and India: SEED,an NGO, providing humanitarian assistance to Earthquake victims. More@ -:http://t.co/8L0zwuB‰Û_",en,,informative
61,575781221244006400,2015_vanuatu_cyclone,crisisnlp-cf,Put #women's leadership at the forefront of #CyclonePam #disaster response: http://t.co/Y9ktMG9ELz,en,,informative
64,451189563285704704,2014_chile_earthquake,crisisnlp-cf,Damn the country of Chile just had an 8.4 earthquake à_£3,en,1.0,informative
66,591903257003499520,2015_nepal_earthquake,crisisnlp-cf,The Power of Business in Emergencies - Online Briefing on the Nepal Earthquake http://t.co/Q6KgV1Bvs2,en,,informative
68,591903355875692544,2015_nepal_earthquake,crisisnlp-cf,Prayers for Nepal......help will come‡_ãD,en,,informative
70,451188081614266368,2014_chile_earthquake,crisisnlp-cf,RT @Salon: An 8.2-magnitude earthquake off Chile killed 5 people last night. And scientists say the worst may be still to come: http://t.coäó_,en,1.0,informative
73,575768403346128896,2015_vanuatu_cyclone,crisisnlp-cf,RT @ChrisCourtney4: @zdaniel your reports are the only understanding we are getting on TC Pam. Thank U &amp; keep telling us the stories of the‰Û_,en,,informative
78,591903342382612481,2015_nepal_earthquake,crisisnlp-cf,Help out! Give to Nepal Earthquake Relief Fund http://t.co/IqDqrHJorI. Raise funds on #indiegogolife,en,,informative
